length,ID,rownum,colnum,ratio,FREQUENCY,LON,LAT
,1,1,1,,,116.3439602,39.7150159
,2,1,2,,,116.3557227,39.71367902
,3,1,3,,,116.3674849,39.71234104
,4,1,4,,,116.3792466,39.71100196
,5,1,5,,,116.3910079,39.70966178
,6,1,6,,,116.4027688,39.7083205
,7,1,7,,,116.4145293,39.70697812
,8,1,8,,,116.4262893,39.70563463
,9,1,9,,,116.4380489,39.70429005
,10,1,10,,,116.4498081,39.70294437
,11,1,11,,,116.4615669,39.70159759
,12,1,12,,,116.4733252,39.7002497
,13,1,13,,,116.4850831,39.69890072
,14,1,14,,,116.4968406,39.69755064
,15,1,15,,,116.5085977,39.69619946
,16,1,16,,,116.5203543,39.69484717
,17,1,17,,,116.5321105,39.69349379
,18,1,18,,,116.5438663,39.69213931
,19,1,19,,,116.5556217,39.69078373
,20,1,20,,,116.5673766,39.68942704
,21,1,21,,,116.5791311,39.68806926
,22,1,22,,,116.5908852,39.68671038
,23,1,23,,,116.6026388,39.6853504
,24,1,24,,,116.614392,39.68398932
,25,2,1,,,116.3456976,39.72406416
,26,2,2,,,116.3574616,39.72272713
,27,2,3,,,116.3692251,39.721389
,28,2,4,,,116.3809882,39.72004977
,29,2,5,,,116.3927509,39.71870944
,30,2,6,,,116.4045132,39.71736801
,31,2,7,,,116.4162751,39.71602548
,32,2,8,,,116.4280365,39.71468184
,33,2,9,,,116.4397975,39.71333711
,34,2,10,,,116.4515581,39.71199128
,35,2,11,,,116.4633183,39.71064435
,36,2,12,,,116.475078,39.70929631
,37,2,13,,,116.4868373,39.70794718
,38,2,14,,,116.4985962,39.70659694
,39,2,15,,,116.5103547,39.70524561
,40,2,16,,,116.5221127,39.70389318
,41,2,17,,,116.5338703,39.70253964
,42,2,18,,,116.5456275,39.70118501
,43,2,19,,,116.5573842,39.69982928
,44,2,20,,,116.5691405,39.69847244
,45,2,21,,,116.5808964,39.69711451
,46,2,22,,,116.5926519,39.69575548
,47,2,23,,,116.6044069,39.69439535
,48,2,24,,,116.6161615,39.69303411
,49,3,1,,,116.3474355,39.7331123
,50,3,2,,,116.3592008,39.73177513
,51,3,3,,,116.3709658,39.73043685
,52,3,4,,,116.3827303,39.72909747
,53,3,5,,,116.3944944,39.72775699
,54,3,6,,,116.4062581,39.72641541
,55,3,7,,,116.4180213,39.72507272
,56,3,8,,,116.4297842,39.72372894
,57,3,9,,,116.4415466,39.72238406
,58,3,10,,,116.4533085,39.72103808
,59,3,11,,,116.4650701,39.71969099
,60,3,12,,,116.4768312,39.71834281
,61,3,13,,,116.4885919,39.71699352
,62,3,14,,,116.5003522,39.71564314
,63,3,15,,,116.5121121,39.71429165
,64,3,16,,,116.5238715,39.71293907
,65,3,17,,,116.5356305,39.71158539
,66,3,18,,,116.5473891,39.7102306
,67,3,19,,,116.5591472,39.70887472
,68,3,20,,,116.5709049,39.70751773
,69,3,21,,,116.5826622,39.70615965
,70,3,22,,,116.5944191,39.70480046
,71,3,23,,,116.6061755,39.70344018
,72,3,24,,,116.6179315,39.70207879
,73,4,1,,,116.3491737,39.74216034
,74,4,2,,,116.3609405,39.74082301
,75,4,3,,,116.3727068,39.73948458
,76,4,4,,,116.3844728,39.73814505
,77,4,5,,,116.3962383,39.73680442
,78,4,6,,,116.4080033,39.73546269
,79,4,7,,,116.419768,39.73411986
,80,4,8,,,116.4315322,39.73277593
,81,4,9,,,116.443296,39.73143089
,82,4,10,,,116.4550594,39.73008476
,83,4,11,,,116.4668224,39.72873753
,84,4,12,,,116.4785849,39.72738919
,85,4,13,,,116.490347,39.72603976
,86,4,14,,,116.5021087,39.72468922
,87,4,15,,,116.5138699,39.72333759
,88,4,16,,,116.5256307,39.72198485
,89,4,17,,,116.5373911,39.72063101
,90,4,18,,,116.5491511,39.71927608
,91,4,19,,,116.5609106,39.71792004
,92,4,20,,,116.5726697,39.71656291
,93,4,21,,,116.5844284,39.71520467
,94,4,22,,,116.5961867,39.71384533
,95,4,23,,,116.6079445,39.7124849
,96,4,24,,,116.6197019,39.71112336
,97,5,1,,,116.3509124,39.75120826
,98,5,2,,,116.3626806,39.74987078
,99,5,3,,,116.3744483,39.7485322
,100,5,4,,,116.3862157,39.74719252
,101,5,5,,,116.3979826,39.74585174
,102,5,6,,,116.409749,39.74450986
,103,5,7,,,116.4215151,39.74316688
,104,5,8,,,116.4332807,39.7418228
,105,5,9,,,116.4450459,39.74047761
,106,5,10,,,116.4568107,39.73913133
,107,5,11,,,116.468575,39.73778395
,108,5,12,,,116.480339,39.73643546
,109,5,13,,,116.4921025,39.73508588
,110,5,14,,,116.5038655,39.73373519
,111,5,15,,,116.5156282,39.7323834
,112,5,16,,,116.5273904,39.73103052
,113,5,17,,,116.5391522,39.72967653
,114,5,18,,,116.5509135,39.72832144
,115,5,19,,,116.5626745,39.72696525
,116,5,20,,,116.574435,39.72560797
,117,5,21,,,116.5861951,39.72424958
,118,5,22,,,116.5979547,39.72289009
,119,5,23,,,116.6097139,39.7215295
,120,5,24,,,116.6214727,39.72016782
,121,6,1,,,116.3526516,39.76025606
,122,6,2,,,116.3644211,39.75891844
,123,6,3,,,116.3761903,39.75757971
,124,6,4,,,116.387959,39.75623988
,125,6,5,,,116.3997273,39.75489895
,126,6,6,,,116.4114952,39.75355692
,127,6,7,,,116.4232626,39.75221379
,128,6,8,,,116.4350296,39.75086956
,129,6,9,,,116.4467962,39.74952422
,130,6,10,,,116.4585624,39.74817779
,131,6,11,,,116.4703281,39.74683025
,132,6,12,,,116.4820935,39.74548162
,133,6,13,,,116.4938584,39.74413188
,134,6,14,,,116.5056228,39.74278105
,135,6,15,,,116.5173869,39.74142911
,136,6,16,,,116.5291505,39.74007607
,137,6,17,,,116.5409137,39.73872193
,138,6,18,,,116.5526764,39.73736669
,139,6,19,,,116.5644388,39.73601035
,140,6,20,,,116.5762007,39.73465292
,141,6,21,,,116.5879621,39.73329438
,142,6,22,,,116.5997232,39.73193474
,143,6,23,,,116.6114838,39.730574
,144,6,24,,,116.623244,39.72921216
,145,7,1,,,116.3543911,39.76930375
,146,7,2,,,116.3661621,39.76796598
,147,7,3,,,116.3779326,39.7666271
,148,7,4,,,116.3897027,39.76528712
,149,7,5,,,116.4014724,39.76394605
,150,7,6,,,116.4132417,39.76260386
,151,7,7,,,116.4250105,39.76126058
,152,7,8,,,116.436779,39.7599162
,153,7,9,,,116.448547,39.75857072
,154,7,10,,,116.4603145,39.75722413
,155,7,11,,,116.4720817,39.75587645
,156,7,12,,,116.4838484,39.75452766
,157,7,13,,,116.4956147,39.75317778
,158,7,14,,,116.5073805,39.75182679
,159,7,15,,,116.519146,39.7504747
,160,7,16,,,116.530911,39.74912151
,161,7,17,,,116.5426756,39.74776722
,162,7,18,,,116.5544397,39.74641183
,163,7,19,,,116.5662035,39.74505534
,164,7,20,,,116.5779668,39.74369775
,165,7,21,,,116.5897296,39.74233906
,166,7,22,,,116.6014921,39.74097927
,167,7,23,,,116.6132541,39.73961838
,168,7,24,,,116.6250157,39.73825639
,169,8,1,,,116.3561311,39.77835133
,170,8,2,,,116.3679034,39.77701341
,171,8,3,,,116.3796754,39.77567438
,172,8,4,,,116.3914469,39.77433425
,173,8,5,,,116.403218,39.77299303
,174,8,6,,,116.4149887,39.7716507
,175,8,7,,,116.4267589,39.77030726
,176,8,8,,,116.4385287,39.76896273
,177,8,9,,,116.4502981,39.7676171
,178,8,10,,,116.4620671,39.76627036
,179,8,11,,,116.4738356,39.76492253
,180,8,12,,,116.4856037,39.76357359
,181,8,13,,,116.4973714,39.76222355
,182,8,14,,,116.5091387,39.76087242
,183,8,15,,,116.5209055,39.75952018
,184,8,16,,,116.5326719,39.75816684
,185,8,17,,,116.5444379,39.7568124
,186,8,18,,,116.5562035,39.75545686
,187,8,19,,,116.5679686,39.75410021
,188,8,20,,,116.5797333,39.75274247
,189,8,21,,,116.5914976,39.75138363
,190,8,22,,,116.6032614,39.75002369
,191,8,23,,,116.6150248,39.74866264
,192,8,24,,,116.6267878,39.7473005
,193,9,1,,,116.3578715,39.7873988
,194,9,2,,,116.3696452,39.78606072
,195,9,3,,,116.3814186,39.78472155
,196,9,4,,,116.3931915,39.78338127
,197,9,5,,,116.404964,39.78203989
,198,9,6,,,116.416736,39.78069741
,199,9,7,,,116.4285077,39.77935383
,200,9,8,,,116.4402789,39.77800915
,201,9,9,,,116.4520497,39.77666337
,202,9,10,,,116.4638201,39.77531648
,203,9,11,,,116.47559,39.77396849
,204,9,12,,,116.4873595,39.77261941
,205,9,13,,,116.4991286,39.77126922
,206,9,14,,,116.5108973,39.76991793
,207,9,15,,,116.5226655,39.76856554
,208,9,16,,,116.5344333,39.76721205
,209,9,17,,,116.5462007,39.76585746
,210,9,18,,,116.5579676,39.76450177
,211,9,19,,,116.5697342,39.76314497
,212,9,20,,,116.5815002,39.76178708
,213,9,21,,,116.5932659,39.76042808
,214,9,22,,,116.6050311,39.75906799
,215,9,23,,,116.6167959,39.7577068
,216,9,24,,,116.6285603,39.7563445
,217,10,1,,,116.3596123,39.79644615
,218,10,2,,,116.3713874,39.79510793
,219,10,3,,,116.3831622,39.7937686
,220,10,4,,,116.3949365,39.79242817
,221,10,5,,,116.4067104,39.79108665
,222,10,6,,,116.4184839,39.78974402
,223,10,7,,,116.4302569,39.78840029
,224,10,8,,,116.4420295,39.78705545
,225,10,9,,,116.4538017,39.78570952
,226,10,10,,,116.4655735,39.78436248
,227,10,11,,,116.4773448,39.78301435
,228,10,12,,,116.4891157,39.78166511
,229,10,13,,,116.5008862,39.78031477
,230,10,14,,,116.5126563,39.77896333
,231,10,15,,,116.5244259,39.77761079
,232,10,16,,,116.5361951,39.77625715
,233,10,17,,,116.5479639,39.77490241
,234,10,18,,,116.5597322,39.77354656
,235,10,19,,,116.5715001,39.77218962
,236,10,20,,,116.5832676,39.77083157
,237,10,21,,,116.5950347,39.76947243
,238,10,22,,,116.6068013,39.76811218
,239,10,23,,,116.6185675,39.76675083
,240,10,24,,,116.6303333,39.76538839
,241,11,1,,,116.3613535,39.80549339
,242,11,2,,,116.3731301,39.80415501
,243,11,3,,,116.3849062,39.80281554
,244,11,4,,,116.3966819,39.80147496
,245,11,5,,,116.4084572,39.80013328
,246,11,6,,,116.4202321,39.79879051
,247,11,7,,,116.4320065,39.79744662
,248,11,8,,,116.4437806,39.79610164
,249,11,9,,,116.4555541,39.79475556
,250,11,10,,,116.4673273,39.79340837
,251,11,11,,,116.4791,39.79206009
